기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
세무법인흥인디오트쇼핑몰지점,중소기업,서울 중구,회계·세무·법무,,,,
몬스터스튜디오,중소기업,서울 강남구,섬유·의류·패션,,,,
몬스터스튜디오,중소기업,서울 노원구,광고·홍보·전시,,,,
몬스터스튜디오,중소기업,경북 포항시,방송·케이블·프로덕션,,,,
몬스터스튜디오,중소기업,경기 고양시,광고·홍보·전시,,,,
동남유화,중소기업,서울 강남구,산업용 가스 제조업,,,,
이에스엔지니어링,중소기업,충남 당진시,측량업,,,,
이에스엔지니어링,중소기업,대구 달성군,배관 및 냉ㆍ난방 공사업,,,,
이에스엔지니어링,중소기업,경기 군포시,산업용 냉장 및 냉동 장비 제조업,,,,
이에스엔지니어링,중소기업,충남 천안시,건설·시공·토목·조경,,,,
이에스엔지니어링,중소기업,경기 용인시,응용 소프트웨어 개발 및 공급업,,,,
이에스엔지니어링,중소기업,부산 연제구,건축설계 및 관련 서비스업,,,,
이에스엔지니어링,중소기업,서울 동작구,건설·시공·토목·조경,,,,
이에스엔지니어링,중소기업,서울특별시 강남구,건물 및 토목 엔지니어링 서비스업,,,,
티맥스에이앤씨,중소기업,경기 성남시,응용 소프트웨어 개발 및 공급업,,,,
티맥스에이앤씨,중견기업,경기 성남시,솔루션·SI·CRM·ERP,,,,
티맥스에이앤씨,중견기업,경기 성남시,솔루션·SI·CRM·ERP,,,,
티맥스에이앤씨,중소기업,경기 성남시,응용 소프트웨어 개발 및 공급업,,,,
티맥스에이앤씨,중소기업,경기 성남시,응용 소프트웨어 개발 및 공급업,,,,
티맥스에이앤씨,중소기업,경기 성남시,솔루션·SI·CRM·ERP,,,,
티맥스에이앤씨,중소기업,경기 성남시,응용 소프트웨어 개발 및 공급업,,,,
티맥스에이앤씨,중소기업,경기 성남시,응용 소프트웨어 개발 및 공급업,,,,
동보바이오,중소기업,경기 광주시,복합비료 및 기타 화학비료 제조업,,,,
예원종합건설,중소기업,충청남도 금산군,"미장, 타일 및 방수 공사업",,,,
씨앤디산업,중소기업,인천 미추홀구,내부 통신배선 공사업,,,,
씨앤디산업,중견기업,경기도 성남시,아파트 건설업,,,,
씨앤디산업,중견기업,서울 종로구,호텔·여행·항공,,,,
씨앤디산업,중소기업,서울 강남구,컨설팅·연구·조사,,,,
씨앤디산업,중소기업,서울 구로구,생활화학·화장품,,,,
씨앤디산업,중소기업,서울 강남구,사업시설 유지.관리 서비스업,,,,
씨앤디산업,중소기업,경기 안산시,전기·전자·제어,,,,
씨앤디산업,중소기업,서울 강남구,건설·시공·토목·조경,,,,
씨앤디산업,중소기업,서울 마포구,응용 소프트웨어 개발 및 공급업,,,,
씨앤디산업,중소기업,서울 강남구,데이터베이스 및 온라인정보 제공업,,,,
아바텍,중소기업,경북 구미시,유기발광 표시장치 제조업,,,,
우리엔지니어링,중소기업,경기 시흥시,기계·기계설비,5억원,210억(2017),이문효,2003.12.01
우리엔지니어링,중소기업,경기 안양시,건설·시공·토목·조경,1억원,20억,이우재,2006.04.01
우리엔지니어링,중소기업,서울 금천구,건축·설비·환경,"3억 4,138만원","3억 4,781만원",배희영,2014.12.09
우리엔지니어링,중소기업,광주 광산구,산업용 로봇 제조업,1억원,80억,박정준,2001
우리엔지니어링,중소기업,충북 진천군,기타 물품 취급장비 제조업,"5,000만원","1억 7,328만원",이주형,2020.05.20
우리엔지니어링,중소기업,경기 평택시,재생용 재료 수집 및 판매업,"2,000만원",16억 6천만원,김광수,2013.03.14
우리엔지니어링,중소기업,서울 구로구,건축·설비·환경,-,-,강보성,2015.07.24
우리엔지니어링,중소기업,대전 유성구,건물 및 토목 엔지니어링 서비스업,3억원,"7억 3,877만원",김도연/송초근,2014.06.05
대표건설,중소기업,서울 영등포구,도장 공사업,10억원,218억 7천만원,박종현,1997.07.04
대표건설,비영리법인,서울 광진구,그 외 기타 협회 및 단체,-,-,이진섭,2017.06.26
삼성포장기,중소기업,경기 안산시,기계·기계설비,20억원,41억,강두이,2012.07.11
삼성포장기,중소기업,부산 사상구,그 외 기타 상품 전문 도매업,"8,000만원",23억원9십만원,김현묵,2011.12.21
제이에스파트너스개발,중소기업,서울 강남구,비주거용 건물 개발 및 공급업,3억원,56억 3천만원,서재현,2007.11.22
케이티마린,중소기업,부산 영도구,외항 화물 운송업,10억원,383억 4백만원,박옥열,2001.05.01
케이티마린,대기업,부산 동구,일반 통신 공사업,326억 6천만원,"1,099억 6천만원",구본규/김병옥,1995.04.17
종합부품,중소기업,울산 동구,자동차·조선·철강·항공,"5,000만원",48억,김종환,2003.10.01
종합부품,중소기업,광주 북구,자동차 중고 부품 및 내장품 판매업,"5,000만원",28억 4천만원,이형귀,2020.10.01
종합부품,중소기업,인천 부평구,자동차용 신품 조향장치 및 현가 장치 제조업,-,-,황순문,2016.02.01
종합부품,중소기업,울산 울주군,백화점·유통·도소매,,,,
종합부품,중소기업,경기 남양주시,건설ㆍ광업용 기계 및 장비 도매업,,,,
종합부품,중소기업,전남 순천시,기타 자동차 신품 부품 및 내장품 판매업,,,,
종합부품,중소기업,전남 광양시,수송용 운송장비 도매업,,,,
아우라시스,중소기업,경기 용인시,전기·전자·제어,,,,
나비드키친웨어,중소기업,서울 중구,쇼핑몰·오픈마켓·소셜커머스,,,,
카뱅크,중소기업,인천 서구,콜센터·아웃소싱·기타,,,,
도농,중소기업,경기 남양주시,뷰티·미용,-,-,전성실,-
도농,중소기업,경기 구리시,학원·어학원·교육원,-,-,오규민,2020.03.02
도농,비영리법인,대전 서구,기타 교육지원 서비스업,"4,290만원",28억 3천만원,안중현,2009.12.15
도농,중소기업,경기 남양주시,제약·보건·바이오,-,-,지경구,2010.03.11
도농,국내 공공기관·공기업,전북 김제시,호텔·여행·항공,-,-,최승일,-
문경레저타운,중소기업,경북 문경시,골프장 운영업,10억원,200억 9천만원,전기홍,2013.03.15
백산종합건설,중소기업,경기 화성시,건물 건설업,13억 5천만원,83억 7천만원,유광수/이혜경,2001.02.12
